,사업장명,업태구분명,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모
61,페리카나도마1점,호프/통닭,19970305,영업/정상,,대전광역시 서구 도마동 129-17번지,30.52
62,요크,호프/통닭,20010413,영업/정상,,대전광역시 서구 도마동 333-31번지,54.46
63,샘물호프,호프/통닭,20020608,영업/정상,,대전광역시 서구 도마동 128-36번지,19.77
64,영화호프,호프/통닭,20130110,영업/정상,,대전광역시 서구 도마동 64-28번지,30.79
65,투다리,호프/통닭,19991208,영업/정상,,대전광역시 서구 도마동 119-2번지 1층,37.4
66,까투리,호프/통닭,20011205,영업/정상,,대전광역시 서구 변동 50-12번지,31.6
67,뷰티호프,호프/통닭,20121025,영업/정상,,대전광역시 서구 도마동 89-25번지,25.32
68,호식이두마리치킨도마점,통닭(치킨),20130213,영업/정상,,대전광역시 서구 도마동 121-20번지 1층,26.88
69,충만치킨배재대점,호프/통닭,20020417,영업/정상,,대전광역시 서구 도마동 40-19번지 1층,95.69
70,동네푸드,호프/통닭,20190307,영업/정상,,대전광역시 서구 도마동 40-1번지,5.7
71,투존치킨,호프/통닭,20190423,영업/정상,,대전광역시 서구 도마동 18-25번지,40.4
72,고래포차,호프/통닭,20190412,영업/정상,,대전광역시 서구 도마동 328-25번지,71.29
73,옛날통닭,호프/통닭,20190411,영업/정상,,대전광역시 서구 도마동 120-1번지,26.24
74,후라이드참잘하는집,호프/통닭,20190619,영업/정상,,대전광역시 서구 도마동 34-5번지,30.3
75,스페이스도마,호프/통닭,20190621,영업/정상,,대전광역시 서구 도마동 174-1번지,197.28
76,교촌치킨 도마1호점,통닭(치킨),20021230,영업/정상,,대전광역시 서구 도마동 114-19번지 103호,46.76
77,장미맨숀,호프/통닭,20100823,영업/정상,,대전광역시 서구 도마동 30-18번지 1층,90.7
78,역전할머니맥주 배재대점,호프/통닭,20190822,영업/정상,,대전광역시 서구 도마동 26-29,83.51
79,립,호프/통닭,19920622,영업/정상,,대전광역시 서구 변동 49-14번지,33.44
80,꼬꾜,호프/통닭,20200302,영업/정상,,대전광역시 서구 도마동 328-4번지 럭키도마아파트,44.8
81,푸라닭 대전도마점,호프/통닭,20200511,영업/정상,,대전광역시 서구 도마동 114-4번지 1층,49.8
82,부어치킨,호프/통닭,20200601,영업/정상,,대전광역시 서구 도마동 40-14,27.88
83,안녕닭 배재대점,호프/통닭,20200728,영업/정상,,대전광역시 서구 도마동 50-28,36.11
84,맛그랑치킨,통닭(치킨),20110620,영업/정상,,대전광역시 서구 변동 58-4번지 (107호),65.1
85,채성숙의만인의포차,호프/통닭,20110621,영업/정상,,대전광역시 서구 도마동 47-28번지 1층,30.1
86,쿠담,호프/통닭,20070529,영업/정상,,"대전광역시 서구 도마동 50-8번지 (2,3층)",153.06
87,너와나,호프/통닭,20030602,영업/정상,,대전광역시 서구 도마동 181-23번지 지하1층,91.29
88,멕시칸치킨,통닭(치킨),20030604,영업/정상,,대전광역시 서구 도마동 15-1번지 도마스토아 119호,29.83
89,더 맛있는 커피,통닭(치킨),20071004,영업/정상,,대전광역시 서구 도마동 120-21번지 1층,48.84
90,마이산인삼순대,호프/통닭,20030625,영업/정상,,대전광역시 서구 도마동 109-27번지,122.2
91,비어캐슬,호프/통닭,20060825,영업/정상,,대전광역시 서구 변동 6-6번지 1층,36.54
92,하얀호프,호프/통닭,20160512,영업/정상,,대전광역시 서구 도마동 127-1번지,27.01
93,에꿍이치킨,호프/통닭,20070313,영업/정상,,대전광역시 서구 도마동 153-14번지 1층,31.92
94,네네치킨,통닭(치킨),20071016,영업/정상,,대전광역시 서구 도마동 101-22번지 (1층),50.5
95,골목대장,호프/통닭,20101129,영업/정상,,대전광역시 서구 도마동 39-4번지 (1층),31.24
96,스칼렛,호프/통닭,20120316,영업/정상,,대전광역시 서구 변동 30-17번지 1층,42.0
97,홀리데이,호프/통닭,20060405,영업/정상,,대전광역시 서구 변동 34-38번지 (지하1층),76.0
98,변동 롱다리치킨,통닭(치킨),20110328,영업/정상,,대전광역시 서구 변동 33-31번지 (1층),43.82
99,처갓집양념치킨 도마점,통닭(치킨),20110908,영업/정상,,대전광역시 서구 도마동 34-33번지 1층,31.22
100,포갬,호프/통닭,20061025,영업/정상,,대전광역시 서구 도마동 34-42번지 1층,53.28
101,파를품은닭 앤 홍대마약떡볶이,통닭(치킨),20120322,영업/정상,,대전광역시 서구 도마동 46-27번지 1층,20.29
102,4학년2반홍반장,호프/통닭,20111201,영업/정상,,대전광역시 서구 도마동 335-6번지 1층,21.39
103,만추,호프/통닭,20120417,영업/정상,,대전광역시 서구 도마동 126-6번지 1층,27.88
104,길모퉁이,호프/통닭,20180122,영업/정상,,대전광역시 서구 도마동 69-1번지,112.25
105,불로불로꼬치,호프/통닭,20070622,영업/정상,,대전광역시 서구 도마동 52-6번지 (1층),51.69
106,더블치킨,통닭(치킨),20070627,영업/정상,,대전광역시 서구 도마동 75-6번지 (1층),46.15
107,후덕하고싼집,호프/통닭,20030408,영업/정상,,대전광역시 서구 변동 31-36번지 지하1층,59.28
