,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모,장사일
884,20010509,폐업,20170328,대전광역시 서구 도마동 164-16번지,21.2,20170328
885,19950719,폐업,20190814,대전광역시 서구 변동 31-5번지,52.3,20190814
886,19920502,폐업,20190212,대전광역시 서구 도마동 101-29번지 1층,23.18,20190212
887,19920502,폐업,20170330,대전광역시 서구 도마동 88-17번지,32.92,20170330
888,19920506,폐업,20200806,대전광역시 서구 도마동 120-2,61.04,20200806
889,19931103,폐업,20150921,대전광역시 서구 도마동 92-18번지,43.42,20150921
890,19910309,폐업,20180629,대전광역시 서구 도마동 168-35번지,28.86,20180629
891,20010512,폐업,20170330,대전광역시 서구 도마동 71-68번지,13.61,20170330
892,19950722,폐업,20200625,대전광역시 서구 변동 31-6,19.8,20200625
893,19950725,폐업,20180731,대전광역시 서구 도마동 139-40번지,28.82,20180731
894,19950726,폐업,20180404,대전광역시 서구 변동 27-41번지,20.06,20180404
895,19921031,폐업,20170919,대전광역시 서구 변동 7-7번지,22.6,20170919
896,19920903,폐업,20180830,대전광역시 서구 변동 71-26번지,61.45,20180830
897,19921121,폐업,20170418,대전광역시 서구 변동 50-6번지,25.28,20170418
898,19921219,폐업,20170515,대전광역시 서구 변동 49-40번지,39.36,20170515
899,19991124,폐업,20170328,대전광역시 서구 도마동 121-6번지,71.05,20170328
900,20130305,폐업,20170328,대전광역시 서구 도마동 120-1번지 2층,76.77,20170328
901,19860702,폐업,20170106,대전광역시 서구 변동 62-24번지,0.0,20170106
902,20020808,폐업,20170809,대전광역시 서구 도마동 120-6번지,271.44,20170809
903,20031217,폐업,20170530,대전광역시 서구 도마동 25-24번지 1층,59.14,20170530
904,20020620,폐업,20170328,대전광역시 서구 도마동 110-13번지,23.85,20170328
905,20031213,폐업,20190305,대전광역시 서구 도마동 174-4번지,90.13,20190305
906,19991025,폐업,20190129,대전광역시 서구 도마동 172-13번지,37.82,20190129
907,19991218,폐업,20180621,대전광역시 서구 변동 57-4번지 1층,72.03,20180621
908,20040120,폐업,20170328,대전광역시 서구 도마동 15-1번지 1층,31.44,20170328
909,20000629,폐업,20160929,대전광역시 서구 변동 34-9번지,37.47,20160929
910,20121226,폐업,20170126,대전광역시 서구 도마동 40-13번지,38.42,20170126
911,20010316,폐업,20191218,대전광역시 서구 도마동 358-1번지,32.07,20191218
912,20010503,폐업,20170330,대전광역시 서구 도마동 99-24번지,27.93,20170330
913,20031230,폐업,20170816,대전광역시 서구 변동 40-22번지,112.26,20170816
914,20010517,폐업,20170119,대전광역시 서구 도마동 93-8번지,26.4,20170119
915,20020903,폐업,20170328,대전광역시 서구 도마동 172-22번지 2층,56.68,20170328
916,20121130,폐업,20170329,대전광역시 서구 도마동 87-67번지,86.6,20170329
917,20121107,폐업,20150421,대전광역시 서구 도마동 130-5번지,19.8,20150421
918,20020829,폐업,20150827,대전광역시 서구 도마동 165-7번지,55.8,20150827
919,20121017,폐업,20150625,대전광역시 서구 도마동 106-16번지,61.72,20150625
920,20121022,폐업,20150106,대전광역시 서구 도마동 171-19번지,41.08,20150106
921,20011215,폐업,20170515,대전광역시 서구 변동 16-51번지,30.27,20170515
922,20020515,폐업,20170515,대전광역시 서구 변동 43-19번지,33.85,20170515
923,20121031,폐업,20190520,대전광역시 서구 변동 41-1번지,12.53,20190520
924,20030812,폐업,20180716,대전광역시 서구 변동 31-36번지 1층,28.16,20180716
925,20130219,폐업,20180130,대전광역시 서구 도마동 181-8번지 1층,19.4,20180130
926,20130225,폐업,20191219,대전광역시 서구 도마동 50-29번지 2층,82.46,20191219
927,20130228,폐업,20171113,대전광역시 서구 도마동 69-1번지 2층,112.25,20171113
928,20020401,폐업,20170515,대전광역시 서구 변동 65-63번지,28.8,20170515
929,20020411,폐업,20170310,대전광역시 서구 도마동 176-35번지,64.43,20170310
