날짜,요일,객수
2019-05-27,월,49
2019-05-28,화,30
2019-05-29,수,26
2019-05-30,목,33
2019-05-31,금,47
2019-06-01,토,31
2019-06-02,일,38
2019-06-03,월,29
2019-06-04,화,33
2019-06-05,수,34
2019-06-06,목,47
2019-06-07,금,48
2019-06-08,토,38
2019-06-09,일,47
2019-06-10,월,32
2019-06-11,화,43
2019-06-12,수,26
2019-06-13,목,27
2019-06-14,금,35
2019-06-15,토,82
2019-06-16,일,36
2019-06-17,월,40
2019-06-18,화,92
2019-06-19,수,37
2019-06-20,목,40
2019-06-21,금,49
2019-06-22,토,28
2019-06-23,일,31
2019-06-24,월,21
2019-06-25,화,29
2019-06-26,수,28
2019-06-27,목,24
2019-06-28,금,38
2019-06-29,토,48
2019-06-30,일,27
2019-07-01,월,22
2019-07-02,화,31
2019-07-03,수,18
2019-07-04,목,20
2019-07-05,금,37
2019-07-06,토,33
2019-07-07,일,38
2019-07-08,월,20
2019-07-09,화,33
2019-07-10,수,29
2019-07-11,목,29
2019-07-12,금,60
2019-07-13,토,35
2019-07-14,일,34
2019-07-15,월,21
2019-07-16,화,52
2019-07-17,수,16
2019-07-18,목,19
2019-07-19,금,36
2019-07-20,토,40
2019-07-21,일,39
2019-07-22,월,29
2019-07-23,화,45
2019-07-24,수,29
2019-07-25,목,35
2019-07-26,금,39
2019-07-27,토,36
2019-07-30,화,49
2019-07-31,수,24
2019-08-01,목,36
2019-08-02,금,42
2019-08-03,토,45
2019-08-04,일,33
2019-08-05,월,35
2019-08-06,화,37
2019-08-07,수,25
2019-08-08,목,41
2019-08-09,금,25
2019-08-10,토,40
2019-08-11,일,70
2019-08-12,월,33
2019-08-13,화,27
2019-08-14,수,32
2019-08-15,목,37
2019-08-16,금,32
2019-08-17,토,44
2019-08-18,일,27
2019-08-19,월,18
2019-08-20,화,29
2019-08-21,수,23
2019-08-22,목,31
2019-08-23,금,27
2019-08-24,토,35
2019-08-25,일,36
2019-08-26,월,27
2019-08-27,화,70
2019-08-28,수,29
2019-08-29,목,32
2019-08-30,금,39
2019-08-31,토,38
2019-09-01,일,28
2019-09-02,월,25
2019-09-03,화,46
2019-09-04,수,27
2019-09-05,목,38
2019-09-06,금,36
2019-09-07,토,39
2019-09-08,일,57
2019-09-09,월,30
2019-09-10,화,49
2019-09-11,수,28
2019-09-12,목,40
2019-09-13,금,39
2019-09-14,토,40
2019-09-15,일,32
2019-09-16,월,29
2019-09-17,화,47
2019-09-18,수,34
2019-09-19,목,35
2019-09-20,금,34
2019-09-21,토,50
2019-09-22,일,70
2019-09-23,월,43
2019-09-24,화,60
2019-09-25,수,5
2019-09-26,목,20
2019-09-27,금,39
2019-09-28,토,47
2019-09-29,일,44
2019-09-30,월,5
2019-10-01,화,62
2019-10-02,수,43
2019-10-03,목,48
2019-10-04,금,22
2019-10-05,토,55
2019-10-06,일,36
2019-10-07,월,3
2019-10-08,화,67
2019-10-09,수,47
2019-10-10,목,39
2019-10-11,금,53
2019-10-12,토,50
2019-10-13,일,40
2019-10-14,월,3
2019-10-15,화,38
2019-10-16,수,32
2019-10-17,목,37
2019-10-18,금,51
2019-10-19,토,44
2019-10-20,일,50
2019-10-21,월,28
2019-10-22,화,37
2019-10-23,수,25
2019-10-24,목,32
2019-10-25,금,48
2019-10-26,토,45
2019-10-27,일,32
2019-10-28,월,27
2019-10-29,화,45
2019-10-30,수,36
2019-10-31,목,31
2019-11-01,금,48
2019-11-02,토,50
2019-11-03,일,54
2019-11-04,월,29
2019-11-05,화,29
2019-11-06,수,24
2019-11-07,목,22
2019-11-08,금,42
2019-11-09,토,52
2019-11-10,일,52
2019-11-11,월,60
2019-11-12,화,59
2019-11-13,수,58
2019-11-14,목,62
2019-11-15,금,66
2019-11-16,토,68
2019-11-17,일,45
2019-11-18,월,26
2019-11-19,화,54
2019-11-20,수,37
2019-11-21,목,32
2019-11-22,금,37
2019-11-23,토,42
2019-11-24,일,46
2019-11-25,월,30
2019-11-26,화,31
2019-11-27,수,26
2019-11-28,목,25
2019-11-29,금,40
2019-11-30,토,41
2019-12-01,일,56
2019-12-02,월,39
2019-12-03,화,52
2019-12-04,수,37
2019-12-05,목,46
2019-12-06,금,37
2019-12-07,토,49
2019-12-08,일,49
2019-12-09,월,33
2019-12-10,화,68
2019-12-11,수,42
2019-12-12,목,38
2019-12-13,금,48
2019-12-14,토,43
2019-12-15,일,37
2019-12-16,월,28
2019-12-17,화,70
2019-12-18,수,91
2019-12-19,목,47
2019-12-20,금,55
2019-12-21,토,77
2019-12-22,일,68
2019-12-23,월,51
2019-12-24,화,97
2019-12-25,수,108
2019-12-26,목,55
2019-12-27,금,66
2019-12-28,토,72
2019-12-29,일,57
2019-12-30,월,58
2019-12-31,화,107
2020-01-01,수,77
2020-01-02,목,35
2020-01-03,금,57
2020-01-04,토,61
2020-01-05,일,64
2020-01-06,월,60
2020-01-07,화,51
2020-01-08,수,29
2020-01-09,목,45
2020-01-10,금,57
2020-01-11,토,60
2020-01-12,일,64
2020-01-13,월,53
2020-01-14,화,46
2020-01-15,수,46
2020-01-16,목,51
2020-01-17,금,46
2020-01-18,토,60
2020-01-19,일,54
2020-01-20,월,47
2020-01-21,화,52
2020-01-22,수,51
2020-01-23,목,72
2020-01-24,금,67
2020-01-25,토,1
2020-01-26,일,82
2020-01-27,월,64
2020-01-28,화,44
2020-01-29,수,53
2020-01-30,목,70
2020-01-31,금,71
2020-02-01,토,82
2020-02-02,일,83
2020-02-03,월,46
2020-02-04,화,59
2020-02-05,수,52
2020-02-06,목,57
2020-02-07,금,84
2020-02-08,토,62
2020-02-09,일,57
2020-02-10,월,59
2020-02-11,화,47
2020-02-12,수,52
2020-02-13,목,48
2020-02-14,금,63
2020-02-15,토,73
2020-02-16,일,81
2020-02-17,월,67
2020-02-18,화,52
2020-02-19,수,46
2020-02-20,목,73
2020-02-21,금,71
2020-02-22,토,92
2020-02-23,일,84
2020-02-24,월,63
2020-02-25,화,81
2020-02-26,수,61
2020-02-27,목,49
2020-02-28,금,99
2020-02-29,토,84
2020-03-01,일,79
2020-03-02,월,77
2020-03-03,화,70
2020-03-04,수,73
2020-03-05,목,64
2020-03-06,금,73
2020-03-07,토,99
2020-03-08,일,77
2020-03-09,월,78
2020-03-10,화,65
2020-03-11,수,72
2020-03-12,목,47
2020-03-13,금,75
2020-03-14,토,84
2020-03-15,일,76
2020-03-16,월,79
2020-03-17,화,58
2020-03-18,수,56
2020-03-19,목,59
2020-03-20,금,64
2020-03-21,토,70
2020-03-22,일,70
2020-03-23,월,64
2020-03-24,화,56
2020-03-25,수,52
2020-03-26,목,65
2020-03-27,금,70
2020-03-28,토,79
2020-03-29,일,75
2020-03-30,월,44
2020-03-31,화,49
2020-04-01,수,52
2020-04-02,목,42
2020-04-03,금,43
2020-04-04,토,68
2020-04-05,일,76
2020-04-06,월,68
2020-04-07,화,35
2020-04-08,수,58
2020-04-09,목,65
2020-04-10,금,68
2020-04-11,토,73
2020-04-12,일,74
2020-04-13,월,67
2020-04-14,화,62
2020-04-15,수,62
2020-04-16,목,54
2020-04-17,금,58
2020-04-18,토,71
2020-04-19,일,67
2020-04-20,월,55
2020-04-21,화,60
2020-04-22,수,67
2020-04-23,목,55
2020-04-24,금,66
2020-04-25,토,81
2020-04-26,일,60
2020-04-27,월,57
2020-04-28,화,51
2020-04-29,수,53
2020-04-30,목,66
2020-05-01,금,58
2020-05-02,토,74
2020-05-03,일,69
2020-05-04,월,78
2020-05-05,화,104
2020-05-06,수,36
2020-05-07,목,47
2020-05-08,금,68
2020-05-09,토,61
2020-05-10,일,75
2020-05-11,월,51
2020-05-12,화,55
2020-05-13,수,58
2020-05-14,목,54
2020-05-15,금,78
2020-05-16,토,71
2020-05-17,일,54
2020-05-18,월,57
2020-05-19,화,63
2020-05-20,수,45
2020-05-21,목,48
2020-05-22,금,60
2020-05-23,토,56
2020-05-24,일,73
2020-05-25,월,59
2020-05-26,화,50
2020-05-27,수,55
2020-05-28,목,38
2020-05-29,금,65
2020-05-30,토,58
2020-05-31,일,59
2020-06-01,월,53
2020-06-02,화,62
2020-06-03,수,49
2020-06-04,목,41
2020-06-05,금,68
2020-06-06,토,64
2020-06-07,일,63
2020-06-08,월,57
2020-06-09,화,54
2020-06-10,수,53
2020-06-11,목,51
2020-06-12,금,63
2020-06-13,토,73
2020-06-14,일,57
2020-06-15,월,81
2020-06-16,화,56
2020-06-17,수,66
2020-06-18,목,59
2020-06-19,금,73
2020-06-20,토,87
2020-06-21,일,89
2020-06-22,월,52
2020-06-23,화,55
2020-06-24,수,62
2020-06-25,목,60
2020-06-26,금,66
2020-06-27,토,65
2020-06-28,일,53
2020-06-29,월,66
2020-06-30,화,77
2020-07-01,수,55
2020-07-02,목,42
2020-07-03,금,41
2020-07-04,토,47
2020-07-05,일,43
2020-07-06,월,49
2020-07-07,화,44
2020-07-08,수,41
2020-07-09,목,51
2020-07-10,금,59
2020-07-11,토,54
2020-07-12,일,55
2020-07-13,월,41
2020-07-14,화,46
2020-07-15,수,34
2020-07-16,목,83
2020-07-17,금,55
2020-07-18,토,50
2020-07-19,일,55
2020-07-20,월,75
2020-07-21,화,35
2020-07-22,수,35
2020-07-23,목,38
2020-07-24,금,47
2020-07-25,토,59
2020-07-26,일,76
2020-07-27,월,59
2020-07-28,화,41
2020-07-29,수,40
2020-07-30,목,95
2020-07-31,금,49
2020-08-01,토,61
2020-08-02,일,51
2020-08-03,월,40
2020-08-04,화,55
2020-08-05,수,47
2020-08-06,목,48
2020-08-07,금,63
2020-08-08,토,69
2020-08-09,일,71
2020-08-11,화,77
2020-08-12,수,55
2020-08-13,목,63
2020-08-14,금,72
2020-08-15,토,100
2020-08-16,일,80
2020-08-17,월,66
2020-08-18,화,55
2020-08-19,수,70
2020-08-20,목,71
2020-08-21,금,76
2020-08-22,토,72
2020-08-23,일,88
2020-08-24,월,59
2020-08-25,화,73
2020-08-26,수,55
2020-08-27,목,46
2020-08-28,금,79
2020-08-29,토,83
2020-08-30,일,78
2020-08-31,월,89
2020-09-01,화,57
2020-09-02,수,95
2020-09-03,목,71
2020-09-04,금,68
2020-09-05,토,81
2020-09-06,일,88
2020-09-07,월,95
2020-09-08,화,72
2020-09-09,수,68
2020-09-10,목,52
2020-09-11,금,75
2020-09-12,토,75
2020-09-13,일,75
2020-09-14,월,66
2020-09-15,화,66
2020-09-16,수,73
2020-09-17,목,71
2020-09-18,금,86
2020-09-19,토,82
2020-09-20,일,83
2020-09-21,월,67
2020-09-22,화,60
2020-09-23,수,54
2020-09-24,목,57
2020-09-25,금,77
2020-09-26,토,11
