날짜,요일,객수
2016-08-02,화,55
2016-08-03,수,38
2016-08-04,목,43
2016-08-05,금,44
2016-08-06,토,44
2016-08-07,일,61
2016-08-08,월,63
2016-08-09,화,57
2016-08-10,수,36
2016-08-11,목,40
2016-08-12,금,46
2016-08-13,토,54
2016-08-14,일,57
2016-08-15,월,48
2016-08-16,화,46
2016-08-17,수,41
2016-08-18,목,32
2016-08-19,금,45
2016-08-20,토,50
2016-08-21,일,48
2016-08-22,월,43
2016-08-23,화,39
2016-08-24,수,6
2016-08-25,목,28
2016-08-26,금,55
2016-08-27,토,58
2016-08-28,일,49
2016-08-29,월,28
2016-08-30,화,42
2016-08-31,수,38
2016-09-01,목,43
2016-09-02,금,49
2016-09-03,토,55
2016-09-04,일,43
2016-09-05,월,48
2016-09-06,화,49
2016-09-07,수,39
2016-09-08,목,42
2016-09-09,금,36
2016-09-10,토,63
2016-09-11,일,44
2016-09-12,월,41
2016-09-13,화,45
2016-09-14,수,43
2016-09-15,목,56
2016-09-16,금,49
2016-09-17,토,54
2016-09-18,일,48
2016-09-19,월,50
2016-09-20,화,43
2016-09-21,수,31
2016-09-22,목,27
2016-09-23,금,38
2016-09-24,토,47
2016-09-25,일,35
2016-09-26,월,48
2016-09-27,화,39
2016-09-28,수,30
2016-09-29,목,25
2016-09-30,금,37
2016-10-01,토,48
2016-10-02,일,47
2016-10-03,월,39
2016-10-04,화,37
2016-10-05,수,26
2016-10-06,목,35
2016-10-07,금,46
2016-10-08,토,57
2016-10-09,일,49
2016-10-10,월,45
2016-10-11,화,47
2016-10-12,수,27
2016-10-13,목,35
2016-10-14,금,41
2016-10-15,토,46
2016-10-16,일,51
2016-10-17,월,24
2016-10-18,화,42
2016-10-19,수,46
2016-10-20,목,23
2016-10-21,금,37
2016-10-22,토,35
2016-10-23,일,43
2016-10-24,월,16
2016-10-25,화,37
2016-10-26,수,35
2016-10-27,목,27
2016-10-28,금,56
2016-10-29,토,38
2016-10-30,일,51
2016-10-31,월,36
2016-11-01,화,41
2016-11-02,수,27
2016-11-03,목,27
2016-11-04,금,44
2016-11-05,토,47
2016-11-06,일,51
2016-11-07,월,29
2016-11-08,화,46
2016-11-09,수,35
2016-11-10,목,35
2016-11-11,금,36
2016-11-12,토,56
2016-11-13,일,65
2016-11-14,월,38
2016-11-15,화,47
2016-11-16,수,25
2016-11-17,목,33
2016-11-18,금,42
2016-11-19,토,66
2016-11-20,일,42
2016-11-21,월,37
2016-11-22,화,36
2016-11-23,수,31
2016-11-24,목,27
2016-11-25,금,38
2016-11-26,토,34
2016-11-27,일,45
2016-11-28,월,42
2016-11-29,화,41
2016-11-30,수,39
2016-12-01,목,60
2016-12-02,금,43
2016-12-03,토,47
2016-12-04,일,63
2016-12-05,월,33
2016-12-06,화,36
2016-12-07,수,26
2016-12-08,목,79
2016-12-09,금,48
2016-12-10,토,67
2016-12-11,일,53
2016-12-12,월,31
2016-12-13,화,64
2016-12-14,수,22
2016-12-15,목,60
2016-12-16,금,42
2016-12-17,토,41
2016-12-18,일,43
2016-12-19,월,21
2016-12-20,화,34
2016-12-21,수,29
