,날짜,구글검색
0,2015-10-11,29.0
1,2015-10-12,30.0
2,2015-10-13,31.0
3,2015-10-14,32.0
4,2015-10-15,33.0
5,2015-10-16,34.0
6,2015-10-17,35.0
7,2015-10-18,36.0
8,2015-10-19,34.714285714285715
9,2015-10-20,33.42857142857143
10,2015-10-21,32.14285714285714
11,2015-10-22,30.857142857142858
12,2015-10-23,29.57142857142857
13,2015-10-24,28.285714285714285
14,2015-10-25,27.0
15,2015-10-26,26.857142857142858
16,2015-10-27,26.714285714285715
17,2015-10-28,26.571428571428573
18,2015-10-29,26.428571428571427
19,2015-10-30,26.285714285714285
20,2015-10-31,26.142857142857142
21,2015-11-01,26.0
22,2015-11-02,26.0
23,2015-11-03,26.0
24,2015-11-04,26.0
25,2015-11-05,26.0
26,2015-11-06,26.0
27,2015-11-07,26.0
28,2015-11-08,26.0
29,2015-11-09,27.428571428571427
30,2015-11-10,28.857142857142858
31,2015-11-11,30.285714285714285
32,2015-11-12,31.714285714285715
33,2015-11-13,33.142857142857146
34,2015-11-14,34.57142857142857
35,2015-11-15,36.0
36,2015-11-16,35.142857142857146
37,2015-11-17,34.285714285714285
38,2015-11-18,33.42857142857143
39,2015-11-19,32.57142857142857
40,2015-11-20,31.714285714285715
41,2015-11-21,30.857142857142858
42,2015-11-22,30.0
43,2015-11-23,32.714285714285715
44,2015-11-24,35.42857142857143
45,2015-11-25,38.14285714285714
46,2015-11-26,40.85714285714286
47,2015-11-27,43.57142857142857
48,2015-11-28,46.285714285714285
49,2015-11-29,49.0
50,2015-11-30,45.42857142857143
51,2015-12-01,41.857142857142854
52,2015-12-02,38.285714285714285
53,2015-12-03,34.714285714285715
54,2015-12-04,31.142857142857142
55,2015-12-05,27.57142857142857
56,2015-12-06,24.0
57,2015-12-07,26.428571428571427
58,2015-12-08,28.857142857142858
59,2015-12-09,31.285714285714285
60,2015-12-10,33.714285714285715
61,2015-12-11,36.14285714285714
62,2015-12-12,38.57142857142857
63,2015-12-13,41.0
64,2015-12-14,39.857142857142854
65,2015-12-15,38.714285714285715
66,2015-12-16,37.57142857142857
67,2015-12-17,36.42857142857143
68,2015-12-18,35.285714285714285
69,2015-12-19,34.142857142857146
70,2015-12-20,33.0
71,2015-12-21,34.857142857142854
72,2015-12-22,36.714285714285715
73,2015-12-23,38.57142857142857
74,2015-12-24,40.42857142857143
75,2015-12-25,42.285714285714285
76,2015-12-26,44.14285714285714
77,2015-12-27,46.0
78,2015-12-28,42.857142857142854
79,2015-12-29,39.714285714285715
80,2015-12-30,36.57142857142857
81,2015-12-31,33.42857142857143
82,2016-01-01,30.285714285714285
83,2016-01-02,27.142857142857142
84,2016-01-03,24.0
85,2016-01-04,25.0
86,2016-01-05,26.0
87,2016-01-06,27.0
88,2016-01-07,28.0
89,2016-01-08,29.0
90,2016-01-09,30.0
91,2016-01-10,31.0
92,2016-01-11,30.285714285714285
93,2016-01-12,29.571428571428573
94,2016-01-13,28.857142857142858
95,2016-01-14,28.142857142857142
96,2016-01-15,27.428571428571427
97,2016-01-16,26.714285714285715
98,2016-01-17,26.0
99,2016-01-18,26.285714285714285
100,2016-01-19,26.571428571428573
101,2016-01-20,26.857142857142858
102,2016-01-21,27.142857142857142
103,2016-01-22,27.428571428571427
104,2016-01-23,27.714285714285715
105,2016-01-24,28.0
106,2016-01-25,29.142857142857142
107,2016-01-26,30.285714285714285
108,2016-01-27,31.428571428571427
109,2016-01-28,32.57142857142857
110,2016-01-29,33.714285714285715
111,2016-01-30,34.857142857142854
112,2016-01-31,36.0
113,2016-02-01,36.714285714285715
114,2016-02-02,37.42857142857143
115,2016-02-03,38.142857142857146
116,2016-02-04,38.857142857142854
117,2016-02-05,39.57142857142857
118,2016-02-06,40.285714285714285
119,2016-02-07,41.0
120,2016-02-08,41.714285714285715
121,2016-02-09,42.42857142857143
122,2016-02-10,43.142857142857146
123,2016-02-11,43.857142857142854
124,2016-02-12,44.57142857142857
125,2016-02-13,45.285714285714285
126,2016-02-14,46.0
127,2016-02-15,43.857142857142854
128,2016-02-16,41.714285714285715
129,2016-02-17,39.57142857142857
130,2016-02-18,37.42857142857143
131,2016-02-19,35.285714285714285
132,2016-02-20,33.14285714285714
133,2016-02-21,31.0
134,2016-02-22,32.42857142857143
135,2016-02-23,33.857142857142854
136,2016-02-24,35.285714285714285
137,2016-02-25,36.714285714285715
138,2016-02-26,38.142857142857146
139,2016-02-27,39.57142857142857
140,2016-02-28,41.0
141,2016-02-29,39.57142857142857
142,2016-03-01,38.142857142857146
143,2016-03-02,36.714285714285715
144,2016-03-03,35.285714285714285
145,2016-03-04,33.857142857142854
146,2016-03-05,32.42857142857143
147,2016-03-06,31.0
148,2016-03-07,30.142857142857142
149,2016-03-08,29.285714285714285
150,2016-03-09,28.42857142857143
151,2016-03-10,27.571428571428573
152,2016-03-11,26.714285714285715
153,2016-03-12,25.857142857142858
154,2016-03-13,25.0
155,2016-03-14,25.285714285714285
156,2016-03-15,25.571428571428573
157,2016-03-16,25.857142857142858
158,2016-03-17,26.142857142857142
159,2016-03-18,26.428571428571427
160,2016-03-19,26.714285714285715
161,2016-03-20,27.0
162,2016-03-21,27.0
163,2016-03-22,27.0
164,2016-03-23,27.0
165,2016-03-24,27.0
166,2016-03-25,27.0
167,2016-03-26,27.0
168,2016-03-27,27.0
169,2016-03-28,26.714285714285715
170,2016-03-29,26.428571428571427
171,2016-03-30,26.142857142857142
172,2016-03-31,25.857142857142858
173,2016-04-01,25.571428571428573
174,2016-04-02,25.285714285714285
