,사업장명,업태구분명,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모
211,하니치킨,통닭(치킨),20050421,폐업,20060922,대전광역시 서구 도마동 134-4번지 1층,15.97
214,맛그랑,통닭(치킨),20060713,폐업,20150506,대전광역시 서구 도마동 74-7번지 1층,71.61
217,대명치킨,통닭(치킨),20050627,폐업,20060519,대전광역시 서구 도마동 134-6번지 1층,5.74
220,시장통닭,통닭(치킨),20050705,폐업,20060601,대전광역시 서구 도마동 135-21번지 1층,14.28
221,옛날산골통닭,통닭(치킨),20141013,폐업,20200717,대전광역시 서구 도마동 133-19 1층,12.5
225,코코빌치킨,통닭(치킨),20070330,폐업,20090928,대전광역시 서구 변동 252-1번지 1층,28.6
228,더조은치킨,통닭(치킨),20120713,폐업,20140804,대전광역시 서구 도마동 328-4번지 1층 3호,44.8
233,순살파닭,통닭(치킨),20111230,폐업,20161229,대전광역시 서구 도마동 70-34번지 1층,49.25
234,치킨프린스 1호점,통닭(치킨),20111230,폐업,20170816,대전광역시 서구 도마동 147-50번지 2층,29.24
242,맥스윈치킨피자,통닭(치킨),20050110,폐업,20120309,대전광역시 서구 변동 15-5번지 1층,111.87
245,투존치킨 도마점,호프/통닭,20100830,폐업,20190423,대전광역시 서구 도마동 18-25번지 1층,40.4
265,치킨과탕수육,통닭(치킨),20010628,폐업,20170330,대전광역시 서구 도마동 333-28번지,17.15
276,고향치킨식당,통닭(치킨),19930220,폐업,20040107,대전광역시 서구 변동 21-27번지,25.96
278,멕시칸치킨변동체인점,통닭(치킨),19890724,폐업,20180907,대전광역시 서구 변동 50-9번지,0
279,페리카나식당,통닭(치킨),19840719,폐업,20140523,대전광역시 서구 도마동 109-13번지,21.66
291,피닉스양념통닭식당,통닭(치킨),19940601,폐업,20060102,대전광역시 서구 변동 253-41번지,19.15
304,페리카나치킨변동점,통닭(치킨),19900131,폐업,20170515,대전광역시 서구 변동 71-11번지,25.12
318,멕시카나 양념통닭,통닭(치킨),19920601,폐업,20120703,대전광역시 서구 변동 29-9번지,22.68
321,통통치킨식당,통닭(치킨),19901116,폐업,20020531,대전광역시 서구 도마동 180-17번지,0
324,미쳐버린파닭,통닭(치킨),19901205,폐업,20110621,대전광역시 서구 도마동 330-22번지 (1층),42.05
330,멕시카나식당,통닭(치킨),19910416,폐업,20110426,대전광역시 서구 도마동 330번지,12.6
345,구석기숯불바베큐치킨,통닭(치킨),20031218,폐업,20050218,대전광역시 서구 도마동 359-10번지 복음로얄상가 1층 103호,27.77
356,비비큐도마점,통닭(치킨),20031121,폐업,20070330,대전광역시 서구 변동 62-7번지 (1층),25.62
385,칸스치킨,통닭(치킨),20021217,폐업,20050218,대전광역시 서구 변동 47-3번지,26.1
395,날아라영계치킨,호프/통닭,19990602,폐업,20070718,대전광역시 서구 도마동 53-34번지,15.2
404,해피꼬치킨,통닭(치킨),19980921,폐업,20140717,대전광역시 서구 도마동 50-52번지,30.61
406,멕시카나치킨식당,통닭(치킨),19971110,폐업,20120405,대전광역시 서구 도마동 142-3번지,29.97
416,큰통치킨,호프/통닭,20021221,폐업,20180418,대전광역시 서구 도마동 49-9번지,63.97
422,반할껄홀딱치킨,통닭(치킨),20070620,폐업,20091223,대전광역시 서구 도마동 121-7번지 1층9호,23.89
423,하림훼미리치킨,통닭(치킨),20030612,폐업,20050609,대전광역시 서구 도마동 125-2번지,24.22
428,사랑방치킨,통닭(치킨),20040921,폐업,20080908,대전광역시 서구 도마동 84-1번지 1층,26.22
429,계동치킨,호프/통닭,20070912,폐업,20200305,대전광역시 서구 도마동 47-28번지 (1층),35.28
439,중앙치킨,통닭(치킨),20030315,폐업,20060925,대전광역시 서구 도마동 132-20번지,17.16
442,펀펀퓨전치킨뷔페,호프/통닭,20120828,폐업,20140820,대전광역시 서구 도마동 24-7번지,179.2
443,아이씨지치킨앤버거 도마배재대점,호프/통닭,20120828,폐업,20170809,대전광역시 서구 도마동 29-22번지,32.28
444,미쳐버린파닭,통닭(치킨),20110722,폐업,20130516,대전광역시 서구 도마동 330-22번지 (1층),42.05
451,웰빙족발별난치킨,통닭(치킨),20061120,폐업,20081027,대전광역시 서구 도마동 33-1번지 1층,22.95
452,풍년치킨호프,통닭(치킨),20120321,폐업,20130122,대전광역시 서구 도마동 171-40번지 1층,26.4
455,더조은두마리치킨,통닭(치킨),20061115,폐업,20120614,대전광역시 서구 도마동 328-4번지 (1층 3호),43.23
467,요런요치킨,호프/통닭,20160407,폐업,20160627,대전광역시 서구 도마동 107-27번지,39.6
470,맥시칸양녕통닭내동가장점,통닭(치킨),20060629,폐업,20081231,대전광역시 서구 변동 16-1번지 1층,28.84
471,고소미치킨배재대점,통닭(치킨),20120216,폐업,20130605,대전광역시 서구 도마동 25-2번지 1층,32.11
