,날짜,요일,고객수,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm),구글검색,네이버 검색량,영업가게
329,2016-09-10,토,63.0,23.2,19.1,28.7,0.6,50.28571428571429,18.83035,44.0
330,2016-09-11,일,44.0,23.9,19.6,28.5,,53.0,16.68391,44.0
331,2016-09-12,월,41.0,23.5,21.0,27.8,9.8,49.14285714285714,12.0652,44.0
332,2016-09-13,화,45.0,24.1,18.7,29.5,,45.28571428571429,12.6541,45.0
333,2016-09-14,수,43.0,24.2,20.5,29.1,0.0,41.42857142857143,13.582020000000002,45.0
334,2016-09-15,목,56.0,23.5,18.4,28.7,,37.57142857142857,15.72626,45.0
335,2016-09-16,금,49.0,22.4,20.7,25.4,6.9,33.714285714285715,18.99106,45.0
336,2016-09-17,토,54.0,20.2,19.6,21.3,97.8,29.857142857142854,19.85624,45.0
337,2016-09-18,일,48.0,19.1,18.1,20.7,12.5,26.0,16.199579999999997,45.0
338,2016-09-19,월,50.0,20.0,17.4,23.6,,28.0,9.64358,45.0
339,2016-09-20,화,43.0,19.2,13.7,24.7,,30.0,8.85545,45.0
340,2016-09-21,수,31.0,19.1,12.8,23.6,,32.0,8.74207,45.0
341,2016-09-22,목,27.0,20.6,17.1,25.9,,34.0,8.55604,45.0
342,2016-09-23,금,38.0,20.8,15.4,27.0,,36.0,11.943019999999999,45.0
343,2016-09-24,토,47.0,21.7,16.4,28.1,,38.0,15.1891,45.0
344,2016-09-25,일,35.0,20.8,17.2,24.7,,40.0,13.88142,45.0
345,2016-09-26,월,48.0,22.1,18.3,26.8,,38.42857142857143,9.13063,45.0
346,2016-09-27,화,39.0,22.4,20.3,25.8,39.7,36.857142857142854,10.46032,45.0
347,2016-09-28,수,30.0,21.8,18.1,26.0,0.0,35.285714285714285,9.253910000000001,45.0
348,2016-09-29,목,25.0,20.1,18.0,22.0,0.0,33.714285714285715,8.44487,45.0
349,2016-09-30,금,37.0,17.6,16.2,18.5,3.0,32.142857142857146,12.071810000000001,45.0
350,2016-10-01,토,48.0,18.6,15.7,21.7,0.6,30.57142857142857,14.472520000000001,45.0
351,2016-10-02,일,47.0,20.7,17.6,23.4,0.5,29.0,16.75105,45.0
352,2016-10-03,월,39.0,23.4,19.6,26.8,6.1,30.57142857142857,12.68712,45.0
353,2016-10-04,화,37.0,22.1,17.7,27.9,,32.142857142857146,8.59787,45.0
354,2016-10-05,수,26.0,19.6,17.7,24.3,21.6,33.714285714285715,9.16916,45.0
355,2016-10-06,목,35.0,18.2,14.4,23.9,,35.285714285714285,9.2374,45.0
356,2016-10-07,금,46.0,18.5,14.2,24.3,22.4,36.857142857142854,12.73886,45.0
357,2016-10-08,토,57.0,17.2,14.2,21.8,32.3,38.42857142857143,14.69377,45.0
358,2016-10-09,일,49.0,11.8,7.6,16.7,,40.0,13.08119,45.0
359,2016-10-10,월,45.0,12.7,8.4,18.5,,38.285714285714285,8.80921,45.0
360,2016-10-11,화,47.0,14.3,10.3,20.5,,36.57142857142857,9.75805,45.0
361,2016-10-12,수,27.0,14.9,11.0,21.0,,34.85714285714286,8.462480000000001,45.0
362,2016-10-13,목,35.0,14.1,10.4,20.1,,33.142857142857146,8.3337,45.0
363,2016-10-14,금,41.0,15.2,8.6,22.9,,31.42857142857143,11.00849,45.0
364,2016-10-15,토,46.0,17.3,10.7,25.2,,29.714285714285715,13.676689999999999,45.0
365,2016-10-16,일,51.0,16.9,15.2,20.3,6.8,28.0,14.4428,45.0
366,2016-10-17,월,24.0,17.6,14.5,23.2,1.0,27.285714285714285,8.35571,45.0
367,2016-10-18,화,42.0,16.1,13.0,21.5,,26.57142857142857,8.024389999999999,45.0
368,2016-10-19,수,46.0,17.2,12.8,23.6,,25.857142857142854,8.9325,45.0
369,2016-10-20,목,23.0,16.7,11.2,22.7,,25.142857142857146,9.01175,45.0
370,2016-10-21,금,37.0,16.8,15.7,18.8,0.0,24.42857142857143,11.438880000000001,45.0
371,2016-10-22,토,35.0,17.5,14.3,22.1,,23.714285714285715,13.343160000000001,45.0
372,2016-10-23,일,43.0,15.0,11.4,17.9,1.0,23.0,14.491229999999998,45.0
373,2016-10-24,월,16.0,15.5,9.8,20.4,0.0,24.57142857142857,7.811939999999999,45.0
374,2016-10-25,화,37.0,14.7,12.3,20.0,21.4,26.142857142857146,8.45478,45.0
375,2016-10-26,수,35.0,13.4,10.8,16.8,,27.714285714285715,7.63693,45.0
376,2016-10-27,목,27.0,14.2,10.2,18.0,,29.285714285714285,7.52905,45.0
377,2016-10-28,금,56.0,13.5,11.1,15.7,8.9,30.857142857142854,10.64305,45.0
378,2016-10-29,토,38.0,9.2,6.1,13.5,,32.42857142857143,13.68769,45.0
379,2016-10-30,일,51.0,7.1,1.2,14.5,,34.0,12.0641,45.0
380,2016-10-31,월,36.0,7.8,4.9,10.4,0.0,32.0,8.00567,45.0
381,2016-11-01,화,41.0,3.4,-0.7,9.4,,30.0,8.35131,45.0
382,2016-11-02,수,27.0,5.1,-2.4,11.7,,28.0,7.85267,45.0
383,2016-11-03,목,27.0,8.1,3.7,14.8,0.0,26.0,7.91211,45.0
384,2016-11-04,금,44.0,9.9,2.7,17.4,,24.0,10.36346,45.0
385,2016-11-05,토,47.0,13.3,8.7,19.2,,22.0,13.654670000000001,45.0
386,2016-11-06,일,51.0,13.3,9.8,18.2,,20.0,12.357999999999999,45.0
387,2016-11-07,월,29.0,14.3,10.8,18.8,2.7,22.285714285714285,8.18179,45.0
388,2016-11-08,화,46.0,6.9,0.9,12.3,5.0,24.57142857142857,8.44487,45.0
389,2016-11-09,수,35.0,3.1,-3.1,9.8,,26.857142857142854,8.11245,45.0
390,2016-11-10,목,35.0,6.8,2.4,12.0,5.2,29.142857142857146,8.513119999999999,45.0
391,2016-11-11,금,36.0,9.3,5.8,14.8,1.4,31.42857142857143,10.84778,45.0
392,2016-11-12,토,56.0,9.7,2.7,18.6,,33.714285714285715,14.2953,45.0
393,2016-11-13,일,65.0,12.1,6.6,18.1,,36.0,13.577620000000001,45.0
394,2016-11-14,월,38.0,15.3,9.5,21.9,0.1,35.57142857142857,8.16748,45.0
395,2016-11-15,화,47.0,8.3,2.7,14.6,,35.142857142857146,8.69254,45.0
396,2016-11-16,수,25.0,5.7,-0.5,12.9,,34.714285714285715,9.17026,45.0
397,2016-11-17,목,33.0,8.1,3.3,15.4,,34.285714285714285,10.59682,45.0
398,2016-11-18,금,42.0,9.0,3.0,13.8,8.7,33.857142857142854,12.27875,45.0
399,2016-11-19,토,66.0,12.6,10.4,14.3,0.7,33.42857142857143,15.07683,45.0
400,2016-11-20,일,42.0,11.5,6.7,16.4,,33.0,12.37781,45.0
401,2016-11-21,월,37.0,8.7,5.5,11.6,0.1,34.42857142857143,8.77619,45.0
402,2016-11-22,화,36.0,4.9,0.7,9.5,0.0,35.857142857142854,9.08,45.0
403,2016-11-23,수,31.0,0.8,-3.3,6.2,,37.285714285714285,9.02166,45.0
404,2016-11-24,목,27.0,-0.2,-4.9,5.2,,38.714285714285715,10.32493,45.0
405,2016-11-25,금,38.0,1.4,-3.2,7.8,,40.142857142857146,12.494489999999999,45.0
406,2016-11-26,토,34.0,0.2,-2.9,3.3,3.0,41.57142857142857,16.513289999999998,45.0
407,2016-11-27,일,45.0,3.0,1.0,7.1,0.5,43.0,14.09056,45.0
408,2016-11-28,월,42.0,2.8,-0.4,8.4,,42.285714285714285,8.81692,45.0
409,2016-11-29,화,41.0,1.9,-3.4,8.8,,41.57142857142857,8.503210000000001,45.0
410,2016-11-30,수,39.0,5.5,-0.7,11.5,2.1,40.857142857142854,8.96002,45.0
411,2016-12-01,목,60.0,5.6,0.1,10.1,0.0,40.142857142857146,10.24018,45.0
412,2016-12-02,금,43.0,1.8,-4.1,8.5,,39.42857142857143,12.13455,45.0
413,2016-12-03,토,47.0,3.2,-2.8,10.8,,38.714285714285715,14.69927,45.0
414,2016-12-04,일,63.0,4.1,-0.2,8.8,0.0,38.0,12.85113,45.0
415,2016-12-05,월,33.0,8.9,4.7,14.2,0.2,38.714285714285715,8.97433,45.0
416,2016-12-06,화,36.0,1.2,-2.6,6.6,,39.42857142857143,9.56102,45.0
417,2016-12-07,수,26.0,2.2,-4.4,8.7,0.2,40.142857142857146,9.07669,45.0
418,2016-12-08,목,79.0,4.1,-1.8,9.8,1.9,40.857142857142854,19.47648,45.0
419,2016-12-09,금,48.0,4.1,-1.0,7.9,0.3,41.57142857142857,15.47529,45.0
420,2016-12-10,토,67.0,-0.1,-4.4,6.4,,42.285714285714285,15.594170000000002,45.0
421,2016-12-11,일,53.0,-0.6,-6.2,6.9,,43.0,13.498370000000001,45.0
422,2016-12-12,월,31.0,4.3,-3.2,11.0,0.0,43.0,9.333169999999999,45.0
423,2016-12-13,화,64.0,4.5,1.0,9.6,,43.0,10.287510000000001,45.0
424,2016-12-14,수,22.0,0.0,-2.9,2.7,,43.0,9.959489999999999,45.0
425,2016-12-15,목,60.0,-1.4,-5.9,3.0,,43.0,11.353019999999999,45.0
426,2016-12-16,금,42.0,-2.4,-8.3,2.8,,43.0,12.64529,45.0
427,2016-12-17,토,41.0,4.0,-0.3,10.5,,43.0,14.345939999999999,45.0
428,2016-12-18,일,43.0,3.8,-1.8,9.5,0.0,43.0,11.74269,45.0
429,2016-12-19,월,21.0,7.8,5.1,10.6,1.8,44.28571428571429,8.4966,45.0
430,2016-12-20,화,34.0,8.2,4.3,13.3,,45.57142857142857,8.32049,45.0
431,2016-12-21,수,29.0,8.2,1.8,12.6,20.5,46.85714285714286,9.3761,45.0
432,2016-12-22,목,41.0,7.8,3.8,14.8,17.6,48.14285714285714,9.723930000000001,45.0
433,2016-12-23,금,30.0,0.8,-1.3,3.9,1.3,49.42857142857143,11.7581,45.0
434,2016-12-24,토,55.0,-1.1,-2.5,1.3,,50.714285714285715,14.950239999999999,45.0
435,2016-12-25,일,41.0,1.3,-4.5,7.3,,52.0,13.55671,45.0
436,2016-12-26,월,37.0,3.1,2.3,4.3,10.8,51.42857142857143,9.85051,45.0
437,2016-12-27,화,40.0,0.3,-5.1,4.0,0.0,50.85714285714285,9.31115,45.0
438,2016-12-28,수,28.0,-2.5,-7.5,4.1,,50.28571428571429,8.810319999999999,45.0
439,2016-12-29,목,46.0,-2.3,-4.5,1.4,0.2,49.714285714285715,10.7289,45.0
440,2016-12-30,금,31.0,-1.8,-8.1,4.8,,49.14285714285714,12.31837,44.0
441,2016-12-31,토,39.0,1.4,-1.3,5.2,,48.57142857142857,14.78953,44.0
442,2017-01-01,일,37.0,3.5,-1.3,10.7,,48.0,12.58035,44.0
443,2017-01-02,월,23.0,4.7,-0.4,10.8,,45.714285714285715,9.41462,44.0
444,2017-01-03,화,29.0,3.3,-1.5,9.2,,43.42857142857143,8.94461,44.0
445,2017-01-04,수,30.0,4.2,-0.2,10.7,,41.142857142857146,8.25334,44.0
446,2017-01-05,목,21.0,4.3,-0.7,9.3,,38.85714285714286,8.82242,44.0
447,2017-01-06,금,28.0,6.7,2.6,12.0,,36.57142857142857,10.50215,44.0
448,2017-01-07,토,36.0,4.3,-1.5,9.2,,34.285714285714285,11.80873,44.0
449,2017-01-08,일,41.0,8.8,5.0,14.8,0.0,32.0,11.923210000000001,44.0
450,2017-01-10,화,47.0,-0.5,-3.2,4.2,,32.857142857142854,10.28641,44.0
451,2017-01-11,수,25.0,-3.1,-7.8,2.5,0.0,33.285714285714285,9.81749,44.0
452,2017-01-12,목,28.0,-0.3,-4.0,5.7,0.0,33.714285714285715,9.35848,44.0
453,2017-01-13,금,32.0,-3.7,-7.3,0.5,0.6,34.142857142857146,11.74048,44.0
454,2017-01-16,월,39.0,-3.9,-10.1,3.7,,35.142857142857146,9.551110000000001,44.0
455,2017-01-17,화,35.0,-2.9,-8.6,4.3,,35.285714285714285,9.84061,44.0
456,2017-01-18,수,14.0,-0.4,-4.7,4.1,,35.42857142857143,9.14054,44.0
457,2017-01-19,목,20.0,0.0,-3.7,5.9,,35.57142857142857,9.29134,44.0
458,2017-01-20,금,36.0,-2.3,-5.2,-0.5,3.4,35.714285714285715,14.034429999999999,44.0
459,2017-01-21,토,23.0,-2.7,-8.6,2.4,1.2,35.857142857142854,17.01083,44.0
460,2017-01-22,일,35.0,-4.7,-7.8,-0.5,0.5,36.0,15.02179,44.0
461,2017-01-23,월,30.0,-6.5,-10.0,-1.4,0.0,34.857142857142854,10.13671,44.0
462,2017-01-24,화,37.0,-5.2,-10.7,1.1,,33.714285714285715,9.85822,44.0
463,2017-01-25,수,25.0,-4.4,-10.6,2.3,,32.57142857142857,9.5368,44.0
464,2017-01-26,목,35.0,-1.1,-9.5,6.5,,31.42857142857143,10.48564,44.0
465,2017-01-27,금,43.0,0.6,-4.3,4.8,2.3,30.285714285714285,10.91713,44.0
466,2017-01-28,토,41.0,0.1,-7.6,7.9,,29.142857142857146,14.36355,44.0
467,2017-01-29,일,48.0,2.8,0.9,5.4,5.7,28.0,21.06485,44.0
468,2017-01-30,월,32.0,-2.4,-6.8,0.9,1.3,30.57142857142857,16.00475,44.0
469,2017-01-31,화,38.0,-4.2,-9.0,1.5,,33.142857142857146,11.41136,44.0
470,2017-02-01,수,19.0,-2.3,-6.6,3.8,0.0,35.714285714285715,10.00132,44.0
471,2017-02-02,목,28.0,-1.6,-9.0,5.7,,38.285714285714285,10.5792,44.0
472,2017-02-03,금,47.0,2.1,-3.2,8.6,,40.85714285714286,11.961730000000001,44.0
473,2017-02-04,토,40.0,2.9,-3.3,8.1,0.0,43.42857142857143,13.484060000000001,44.0
474,2017-02-05,일,46.0,3.2,1.2,5.5,0.5,46.0,13.08999,44.0
475,2017-02-06,월,40.0,0.0,-3.2,4.8,,47.28571428571429,10.20055,44.0
476,2017-02-07,화,48.0,-0.5,-4.7,5.8,,48.57142857142857,10.13781,44.0
477,2017-02-08,수,31.0,-0.1,-4.1,4.2,,49.85714285714286,9.95508,44.0
478,2017-02-09,목,62.0,-2.9,-5.1,0.6,0.1,51.14285714285714,13.205570000000002,44.0
479,2017-02-10,금,39.0,-4.4,-6.9,-0.3,0.2,52.42857142857143,15.86936,44.0
480,2017-02-11,토,61.0,-2.9,-7.2,2.6,0.5,53.714285714285715,19.65811,44.0
481,2017-02-12,일,50.0,-0.3,-5.3,5.7,,55.0,19.14846,44.0
482,2017-02-13,월,40.0,0.3,-5.8,6.0,0.6,54.0,15.71085,44.0
483,2017-02-14,화,56.0,1.6,-2.8,8.1,,53.0,14.348139999999999,44.0
484,2017-02-15,수,28.0,2.2,-5.4,10.8,,52.0,13.3993,44.0
485,2017-02-16,목,48.0,7.3,-3.4,15.5,1.9,51.0,13.968379999999998,44.0
486,2017-02-17,금,49.0,4.6,-2.7,11.8,1.9,50.0,16.6729,44.0
487,2017-02-18,토,45.0,-1.0,-6.2,4.8,,49.0,17.80556,44.0
488,2017-02-19,일,37.0,3.1,-4.9,9.2,3.5,48.0,17.551289999999998,44.0
489,2017-02-20,월,48.0,1.3,-4.9,7.2,15.3,48.0,16.11042,44.0
490,2017-02-21,화,56.0,0.6,-6.9,9.0,,48.0,14.747710000000001,44.0
491,2017-02-22,수,50.0,3.0,0.2,4.1,17.5,48.0,15.341,44.0
492,2017-02-23,목,64.0,0.5,-3.0,5.3,,48.0,14.16651,44.0
493,2017-02-24,금,44.0,0.6,-5.4,6.9,,48.0,16.3691,44.0
494,2017-02-25,토,45.0,3.5,-2.7,10.0,,48.0,17.7098,44.0
495,2017-02-26,일,38.0,4.0,-0.8,10.5,,48.0,15.663520000000002,44.0
496,2017-02-27,월,47.0,4.2,-2.5,12.0,,46.0,12.47908,44.0
497,2017-02-28,화,50.0,5.3,-2.7,14.0,,44.0,13.92105,44.0
498,2017-03-01,수,78.0,6.1,1.0,12.8,0.1,42.0,14.35144,44.0
499,2017-03-02,목,32.0,3.0,-1.0,8.3,2.0,40.0,8.836730000000001,44.0
500,2017-03-03,금,33.0,4.2,-3.6,12.5,,38.0,10.19395,44.0
501,2017-03-04,토,36.0,6.1,-1.2,15.1,,36.0,13.39049,44.0
502,2017-03-05,일,39.0,6.3,0.0,14.6,,34.0,12.99973,44.0
503,2017-03-06,월,39.0,1.8,-1.6,6.7,0.0,36.0,8.56485,44.0
504,2017-03-07,화,51.0,-0.2,-2.6,4.0,1.2,38.0,8.96992,44.0
505,2017-03-08,수,44.0,1.4,-3.7,6.0,0.0,40.0,9.24511,44.0
506,2017-03-09,목,30.0,4.7,-1.1,10.7,,42.0,9.55552,44.0
507,2017-03-10,금,50.0,5.9,-1.5,13.4,,44.0,22.53874,44.0
508,2017-03-11,토,62.0,7.4,-1.9,17.1,,46.0,18.89859,44.0
509,2017-03-12,일,30.0,8.9,0.3,16.8,,48.0,17.45112,44.0
510,2017-03-13,월,28.0,8.0,2.7,13.8,,44.85714285714285,9.6799,44.0
511,2017-03-14,화,58.0,5.6,-0.1,12.0,,41.714285714285715,10.1224,44.0
512,2017-03-15,수,56.0,5.9,-1.8,12.8,,38.57142857142857,11.60619,44.0
513,2017-03-16,목,29.0,6.3,-1.2,13.8,,35.42857142857143,10.45812,44.0
514,2017-03-17,금,28.0,7.6,-1.4,16.6,,32.285714285714285,13.73833,44.0
515,2017-03-18,토,40.0,8.8,2.9,18.0,,29.142857142857146,16.83251,44.0
516,2017-03-19,일,38.0,10.0,0.7,19.2,,26.0,14.56608,44.0
517,2017-03-20,월,28.0,8.6,2.7,13.6,0.1,27.0,9.6821,44.0
518,2017-03-21,화,43.0,8.4,4.9,13.0,0.0,28.0,10.52637,44.0
519,2017-03-22,수,48.0,7.6,0.0,14.6,,29.0,10.34805,44.0
520,2017-03-23,목,23.0,9.5,4.0,16.6,,30.0,10.73661,44.0
521,2017-03-24,금,32.0,9.0,1.7,15.6,,31.0,13.524779999999998,44.0
522,2017-03-25,토,55.0,7.6,6.4,9.9,0.9,32.0,18.187520000000003,44.0
523,2017-03-26,일,37.0,7.1,4.6,10.5,0.0,33.0,17.218870000000003,44.0
524,2017-03-27,월,3.0,6.4,3.5,11.1,1.6,34.0,9.52029,44.0
525,2017-03-28,화,23.0,7.9,0.9,14.2,0.2,35.0,10.34695,44.0
526,2017-03-29,수,29.0,9.7,4.3,16.8,1.6,36.0,9.15044,42.0
527,2017-03-30,목,38.0,11.2,2.1,19.5,,37.0,8.56815,42.0
528,2017-03-31,금,39.0,10.0,8.0,14.6,3.9,38.0,14.09937,41.0
529,2017-04-01,토,36.0,9.1,5.2,13.6,1.1,39.0,16.048779999999997,41.0
530,2017-04-02,일,31.0,9.3,1.9,17.1,,40.0,13.816479999999999,41.0
531,2017-04-04,화,47.0,14.2,4.1,22.8,,38.857142857142854,8.14217,42.0
532,2017-04-05,수,37.0,12.8,10.7,14.2,17.0,38.285714285714285,10.2699,42.0
533,2017-04-06,목,17.0,13.8,11.2,16.7,15.9,37.714285714285715,8.7806,42.0
534,2017-04-07,금,20.0,16.2,9.5,24.6,,37.142857142857146,11.10646,42.0
535,2017-04-08,토,35.0,16.7,10.2,24.6,,36.57142857142857,14.989870000000002,42.0
536,2017-04-09,일,39.0,14.4,11.9,19.7,,36.0,13.949670000000001,42.0
537,2017-04-10,월,24.0,15.1,9.4,21.4,,38.57142857142857,8.30067,42.0
538,2017-04-11,화,37.0,12.5,8.2,19.4,14.3,41.142857142857146,8.56815,42.0
539,2017-04-12,수,25.0,12.1,5.7,18.4,,43.714285714285715,8.49881,42.0
540,2017-04-13,목,23.0,13.2,5.7,20.1,,46.28571428571429,8.41735,42.0
541,2017-04-14,금,36.0,16.0,10.5,20.9,0.0,48.85714285714286,12.31177,42.0
542,2017-04-15,토,39.0,18.7,12.5,25.6,,51.42857142857143,15.048210000000001,42.0
543,2017-04-16,일,38.0,19.9,10.6,28.6,,54.0,14.15661,42.0
544,2017-04-17,월,23.0,13.7,11.8,18.9,26.8,51.85714285714285,9.315560000000001,42.0
545,2017-04-18,화,41.0,13.8,10.3,21.5,0.5,49.714285714285715,9.48617,42.0
546,2017-04-19,수,26.0,13.4,7.2,20.4,,47.57142857142857,9.28253,42.0
547,2017-04-20,목,30.0,10.9,8.3,14.1,1.7,45.42857142857143,9.86813,42.0
548,2017-04-21,금,38.0,12.8,5.8,19.9,,43.28571428571429,12.39763,42.0
549,2017-04-22,토,64.0,14.6,8.6,21.1,,41.14285714285714,15.7747,42.0
550,2017-04-23,일,31.0,15.0,6.5,23.0,,39.0,15.228729999999999,42.0
551,2017-04-24,월,30.0,15.2,6.3,23.6,,40.857142857142854,8.913789999999999,42.0
552,2017-04-25,화,46.0,17.0,10.0,22.7,0.0,42.714285714285715,9.72283,42.0
553,2017-04-26,수,21.0,15.6,10.1,21.6,0.4,44.57142857142857,9.41242,42.0
554,2017-04-27,목,30.0,13.8,6.7,20.5,,46.42857142857143,9.48507,42.0
555,2017-04-28,금,49.0,15.5,8.6,23.8,,48.28571428571429,13.31564,42.0
556,2017-04-29,토,46.0,18.0,9.7,25.2,,50.14285714285714,14.53636,42.0
557,2017-04-30,일,44.0,20.6,15.2,27.7,,52.0,14.445,42.0
558,2017-05-01,월,23.0,20.4,12.9,28.7,,52.14285714285714,10.54288,42.0
559,2017-05-02,화,45.0,20.0,12.1,27.5,,52.28571428571429,11.7702,42.0
560,2017-05-03,수,34.0,21.1,11.8,29.6,,52.42857142857143,12.63979,42.0
561,2017-05-04,목,31.0,21.4,14.1,28.4,0.0,52.57142857142857,11.84726,42.0
562,2017-05-05,금,36.0,21.7,17.9,28.2,0.0,52.714285714285715,14.96895,42.0
563,2017-05-06,토,34.0,16.5,10.8,23.5,,52.85714285714285,14.76091,42.0
564,2017-05-07,일,38.0,18.1,11.8,25.8,,53.0,13.0977,42.0
565,2017-05-08,월,31.0,18.2,12.1,22.9,,52.0,12.0597,42.0
566,2017-05-09,화,81.0,15.7,12.2,20.3,7.3,51.0,19.2002,42.0
567,2017-05-10,수,24.0,15.6,13.8,18.7,2.0,50.0,8.9314,42.0
568,2017-05-11,목,26.0,18.7,12.6,26.2,4.1,49.0,8.83893,42.0
569,2017-05-12,금,32.0,19.8,15.9,23.9,,48.0,12.8071,42.0
570,2017-05-13,토,55.0,18.3,13.8,25.3,1.4,47.0,16.46816,42.0
571,2017-05-14,일,47.0,16.6,12.1,23.0,,46.0,15.727360000000001,42.0
572,2017-05-15,월,35.0,16.7,11.1,23.1,,45.42857142857143,10.04314,42.0
573,2017-05-16,화,67.0,16.8,11.5,22.6,,44.85714285714285,9.6788,41.0
574,2017-05-17,수,25.0,18.7,10.5,26.1,,44.28571428571429,9.25722,41.0
575,2017-05-18,목,25.0,20.3,11.9,27.8,,43.714285714285715,9.628169999999999,41.0
576,2017-05-19,금,24.0,21.4,13.1,29.9,,43.14285714285715,12.70363,41.0
577,2017-05-20,토,49.0,20.7,12.5,29.2,,42.57142857142857,16.59144,41.0
578,2017-05-21,일,38.0,21.4,14.3,29.1,,42.0,14.913920000000001,41.0
579,2017-05-22,월,28.0,21.7,13.3,29.4,,41.714285714285715,8.871960000000001,41.0
580,2017-05-23,화,46.0,21.1,15.1,26.7,,41.42857142857143,10.602319999999999,41.0
581,2017-05-24,수,21.0,20.8,17.0,26.7,11.0,41.142857142857146,8.995239999999999,41.0
582,2017-05-25,목,29.0,19.7,14.0,27.0,,40.857142857142854,10.48674,41.0
583,2017-05-26,금,43.0,17.2,11.2,22.8,,40.57142857142857,15.16709,41.0
584,2017-05-27,토,51.0,19.3,11.9,26.3,,40.285714285714285,17.20125,41.0
585,2017-05-28,일,56.0,21.4,12.8,29.0,,40.0,16.05538,41.0
586,2017-05-29,월,31.0,24.1,19.5,30.7,,39.42857142857143,9.42123,41.0
587,2017-05-30,화,60.0,23.5,17.1,30.0,,38.857142857142854,12.2116,41.0
588,2017-05-31,수,31.0,22.0,17.2,28.4,3.5,38.285714285714285,9.64247,41.0
589,2017-06-01,목,40.0,22.0,17.0,26.9,,37.714285714285715,10.2743,41.0
590,2017-06-02,금,32.0,20.3,13.0,27.4,0.0,37.142857142857146,12.40423,41.0
591,2017-06-03,토,52.0,20.4,16.1,26.1,0.2,36.57142857142857,15.31679,41.0
592,2017-06-04,일,68.0,20.8,12.0,28.4,,36.0,13.870420000000001,41.0
593,2017-06-05,월,3.0,22.6,13.9,29.8,,36.857142857142854,12.74986,41.0
594,2017-06-06,화,91.0,18.3,15.7,22.5,10.3,37.714285714285715,14.83356,41.0
595,2017-06-07,수,35.0,17.9,16.0,19.7,4.5,38.57142857142857,8.069519999999999,41.0
596,2017-06-08,목,38.0,20.1,15.6,26.4,,39.42857142857143,8.18179,41.0
597,2017-06-09,금,26.0,22.0,16.2,27.9,,40.285714285714285,10.961160000000001,41.0
598,2017-06-10,토,45.0,22.6,19.9,26.6,,41.14285714285714,13.35857,41.0
599,2017-06-11,일,51.0,22.8,15.9,29.6,,42.0,11.98045,41.0
600,2017-06-12,월,1.0,22.1,16.7,27.4,,43.714285714285715,7.91211,41.0
601,2017-06-13,화,38.0,21.7,17.3,27.6,0.0,45.42857142857143,8.32489,41.0
602,2017-06-14,수,25.0,22.0,15.1,28.4,,47.14285714285714,7.747000000000001,41.0
603,2017-06-15,목,30.0,23.1,16.8,29.6,,48.85714285714285,7.934130000000001,41.0
604,2017-06-16,금,42.0,25.3,18.1,32.8,,50.57142857142857,100.0,41.0
605,2017-06-17,토,50.0,24.7,16.8,32.3,,52.28571428571429,24.24819,41.0
606,2017-06-18,일,60.0,25.3,17.1,33.8,,54.0,18.68505,41.0
607,2017-06-19,월,40.0,26.1,18.3,33.4,,52.714285714285715,10.91163,41.0
608,2017-06-20,화,53.0,25.4,19.6,31.3,,51.42857142857143,11.54565,41.0
609,2017-06-22,목,29.0,25.3,18.6,32.9,,48.85714285714285,10.20385,41.0
610,2017-06-23,금,27.0,27.4,20.1,34.8,,47.57142857142857,12.535219999999999,41.0
611,2017-06-24,토,47.0,24.5,20.4,33.5,2.8,46.28571428571429,16.15335,41.0
612,2017-06-25,일,49.0,25.0,20.0,29.9,,45.0,14.68276,41.0
613,2017-06-27,화,48.0,24.6,20.7,29.2,12.2,44.714285714285715,10.7146,41.0
614,2017-06-28,수,22.0,25.3,21.0,31.6,3.2,44.57142857142857,9.26932,41.0
615,2017-06-29,목,27.0,26.1,21.6,31.1,0.3,44.42857142857143,9.5346,41.0
616,2017-06-30,금,49.0,26.9,22.8,32.2,,44.28571428571429,12.69483,41.0
617,2017-07-01,토,48.0,24.1,22.6,25.1,14.4,44.14285714285715,15.0405,41.0
618,2017-07-02,일,42.0,25.7,24.2,27.6,39.5,44.0,14.70147,41.0
619,2017-07-04,화,61.0,25.9,24.1,28.4,34.0,51.14285714285714,9.81419,41.0
620,2017-07-05,수,21.0,27.8,23.7,32.6,,54.714285714285715,9.74044,41.0
621,2017-07-06,목,24.0,26.0,23.5,31.8,41.2,58.28571428571429,10.39428,41.0
622,2017-07-07,금,30.0,26.7,23.5,29.5,1.7,61.85714285714286,15.636,41.0
623,2017-07-08,토,35.0,26.1,22.6,29.1,61.0,65.42857142857143,15.11425,41.0
624,2017-07-09,일,34.0,26.7,22.5,32.4,31.0,69.0,14.55618,41.0
625,2017-07-11,화,35.0,26.5,23.2,31.0,0.8,60.42857142857143,11.11196,41.0
626,2017-07-12,수,41.0,27.9,24.2,32.4,,56.14285714285714,19.79129,41.0
627,2017-07-13,목,21.0,27.9,22.8,32.9,,51.85714285714286,11.0206,41.0
628,2017-07-14,금,38.0,27.6,24.4,34.0,1.9,47.57142857142857,14.35474,41.0
629,2017-07-15,토,35.0,25.2,23.1,26.7,24.5,43.28571428571429,17.21446,41.0
630,2017-07-16,일,33.0,27.4,25.3,29.8,0.1,39.0,14.53196,41.0
631,2017-07-17,월,49.0,25.6,23.0,29.1,7.1,41.142857142857146,10.71129,41.0
